QID-DocID,TF-IDF,Okapi TF,BM25,Laplace,Jelinek-Mercer,Label
1-184,0,0,0,,,1
1-29,0,0,0,,,1
1-31,0,0,0,,,1
1-12,0,0,0,,,1
1-51,0,0,0,,,1
1-102,0,0,0,,,1
1-13,0,0,0,,,1
1-14,0,0,0,,,1
1-15,0,0,0,,,1
1-57,0,0,0,,,1
1-378,0,0,0,,,1
1-859,0,0,0,,,1
1-185,0,0,0,,,1
1-30,0,0,0,,,1
1-37,0,0,0,,,1
1-52,0,0,0,,,1
1-142,0,0,0,,,1
1-195,0,0,0,,,1
1-875,0,0,0,,,1
1-56,0,0,0,,,1
1-66,0,0,0,,,1
1-95,0,0,0,,,1
1-462,0,0,0,,,1
1-497,0,0,0,,,1
1-858,0,0,0,,,1
1-876,0,0,0,,,1
1-879,0,0,0,,,1
1-880,0,0,0,,,1
1-486,0,0,0,,,0
1-1,173.1857636503153,1.6349206349206349,39.221058405756025,,,0
2-12,0,0,0,,,1
2-15,0,0,0,,,1
2-184,0,0,0,,,1
2-858,0,0,0,,,1
2-51,0,0,0,,,1
2-102,0,0,0,,,1
2-202,0,0,0,,,1
2-14,0,0,0,,,1
2-52,0,0,0,,,1
2-380,0,0,0,,,1
2-746,0,0,0,,,1
2-859,0,0,0,,,1
2-948,0,0,0,,,1
2-285,0,0,0,,,1
2-390,0,0,0,,,1
2-391,0,0,0,,,1
2-442,0,0,0,,,1
2-497,0,0,0,,,1
2-643,0,0,0,,,1
2-856,0,0,0,,,1
2-857,0,0,0,,,1
2-877,0,0,0,,,1
2-864,0,0,0,,,1
2-658,0,0,0,,,1
2-486,0,0,0,,,0
2-1,319.02640672426503,3.3349206349206346,82.00509326759541,,,0
4-236,0,0,0,,,1
4-166,0,0,0,,,1
4-488,0,0,0,,,0
4-1,218.7609646109246,2.3492063492063493,56.83944342067285,,,0
8-48,0,0,0,,,1
8-122,0,0,0,,,1
8-20,0,0,0,,,1
8-58,0,0,0,,,1
8-196,0,0,0,,,1
8-354,0,0,0,,,1
8-360,0,0,0,,,1
8-197,0,0,0,,,1
8-999,0,0,0,,,1
8-1112,0,0,0,,,1
8-1005,0,0,0,,,1
8-492,0,0,0,,,0
8-1,674.5129742170175,6.59119769119769,160.1489471974679,,,0
9-21,0,0,0,,,1
9-22,0,0,0,,,1
9-550,0,0,0,,,1
9-534,0,0,0,,,0
9-1,109.3804823054623,1.492063492063492,36.48042073676896,,,0
10-259,0,0,0,,,1
10-405,0,0,0,,,1
10-302,0,0,0,,,1
10-436,0,0,0,,,1
10-437,0,0,0,,,1
10-438,0,0,0,,,1
10-998,0,0,0,,,1
10-1011,0,0,0,,,1
10-493,0,0,0,,,0
10-1,173.1857636503153,3.425396825396825,88.39592858072388,,,0
12-86,0,0,0,,,1
12-194,0,0,0,,,1
12-650,0,0,0,,,1
12-649,0,0,0,,,1
12-652,0,0,0,,,1
12-624,0,0,0,,,0
12-1,847.6987378673329,9.877777777777778,244.37042070687033,,,0
13-64,0,0,0,,,1
13-265,0,0,0,,,1
13-65,0,0,0,,,1
13-311,0,0,0,,,1
13-496,0,0,0,,,0
13-1,154.9556832660716,2.1904761904761902,55.69646919953706,,,0
15-463,0,0,0,,,1
15-462,0,0,0,,,1
15-497,0,0,0,,,0
15-1,63.80528134485301,0.7777777777777778,18.86203572185213,,,0
18-196,0,0,0,,,1
18-197,0,0,0,,,1
18-198,0,0,0,,,1
18-498,0,0,0,,,0
18-1,282.5662459557776,3.2864357864357867,81.1024764983583,,,0
22-68,0,0,0,,,1
22-502,0,0,0,,,0
22-1,537.7873713351896,5.73015873015873,139.95771865656323,,,0
23-900,0,0,0,,,1
23-902,0,0,0,,,1
23-200,0,0,0,,,1
23-201,0,0,0,,,1
23-601,0,0,0,,,1
23-899,0,0,0,,,1
23-903,0,0,0,,,1
23-593,0,0,0,,,1
23-199,0,0,0,,,1
23-594,0,0,0,,,1
23-901,0,0,0,,,1
23-544,0,0,0,,,1
23-597,0,0,0,,,1
23-749,0,0,0,,,1
23-917,0,0,0,,,1
23-919,0,0,0,,,1
23-1333,0,0,0,,,1
23-634,0,0,0,,,1
23-687,0,0,0,,,1
23-698,0,0,0,,,1
23-1290,0,0,0,,,1
23-700,0,0,0,,,1
23-704,0,0,0,,,1
23-705,0,0,0,,,1
23-1109,0,0,0,,,1
23-1112,0,0,0,,,1
23-1141,0,0,0,,,1
23-1197,0,0,0,,,1
23-1256,0,0,0,,,1
23-1259,0,0,0,,,1
23-1272,0,0,0,,,1
23-1289,0,0,0,,,1
23-892,0,0,0,,,0
23-1,309.9113665321432,3.1682539682539685,78.07871032141395,,,0
26-145,0,0,0,,,1
26-611,0,0,0,,,1
26-376,0,0,0,,,1
26-406,0,0,0,,,1
26-565,0,0,0,,,1
26-1076,0,0,0,,,1
26-511,0,0,0,,,0
26-1,410.1768086454836,3.3682539682539683,80.2901214060449,,,0
29-250,0,0,0,,,1
29-514,0,0,0,,,1
29-609,0,0,0,,,1
29-225,0,0,0,,,1
29-793,0,0,0,,,1
29-464,0,0,0,,,1
29-465,0,0,0,,,1
29-612,0,0,0,,,1
29-466,0,0,0,,,1
29-513,0,0,0,,,0
29-1,173.1857636503153,1.6349206349206349,39.221058405756025,,,0
31-776,0,0,0,,,1
31-751,0,0,0,,,0
31-1,428.4068890297273,4.91976911976912,122.14145227300594,,,0
32-465,0,0,0,,,1
32-249,0,0,0,,,1
32-777,0,0,0,,,1
32-778,0,0,0,,,1
32-247,0,0,0,,,1
32-250,0,0,0,,,1
32-752,0,0,0,,,0
32-1,729.2032153697488,7.860894660894661,193.27498262847013,,,0
33-252,0,0,0,,,1
33-431,0,0,0,,,1
33-141,0,0,0,,,1
33-516,0,0,0,,,0
33-1,337.25648710850874,3.925396825396825,97.0988514642828,,,0
34-252,0,0,0,,,1
34-431,0,0,0,,,1
34-672,0,0,0,,,1
34-714,0,0,0,,,1
34-799,0,0,0,,,1
34-800,0,0,0,,,1
34-516,0,0,0,,,0
34-1,738.3182555618706,7.057864357864357,171.87563625797117,,,0
35-166,0,0,0,,,1
35-167,0,0,0,,,1
35-132,0,0,0,,,1
35-517,0,0,0,,,0
35-1,483.09713018245844,5.082539682539683,125.39318704423198,,,0
39-272,0,0,0,,,1
39-555,0,0,0,,,1
39-24,0,0,0,,,1
39-283,0,0,0,,,1
39-552,0,0,0,,,1
39-79,0,0,0,,,1
39-207,0,0,0,,,1
39-418,0,0,0,,,1
39-557,0,0,0,,,1
39-554,0,0,0,,,1
39-556,0,0,0,,,1
39-505,0,0,0,,,1
39-1257,0,0,0,,,1
39-536,0,0,0,,,0
39-1,373.7166478769962,4.058730158730159,99.7989870987528,,,0
40-24,0,0,0,,,1
40-283,0,0,0,,,1
40-552,0,0,0,,,1
40-272,0,0,0,,,1
40-85,0,0,0,,,3
40-976,0,0,0,,,1
40-557,0,0,0,,,1
40-558,0,0,0,,,1
40-553,0,0,0,,,1
40-554,0,0,0,,,1
40-555,0,0,0,,,1
40-556,0,0,0,,,1
40-536,0,0,0,,,0
40-1,829.4686574830891,7.506349206349205,181.58609546684949,,,0
41-288,0,0,0,,,1
41-289,0,0,0,,,1
41-433,0,0,0,,,1
41-520,0,0,0,,,0
41-1,145.84064307394974,2.492063492063492,62.65630704464539,,,0
49-320,0,0,0,,,1
49-478,0,0,0,,,1
49-527,0,0,0,,,0
49-1,346.37152730063065,3.2253968253968255,77.54948373705784,,,0
50-326,0,0,0,,,1
50-629,0,0,0,,,1
50-21,0,0,0,,,1
50-94,0,0,0,,,1
50-22,0,0,0,,,1
50-306,0,0,0,,,1
50-528,0,0,0,,,0
50-1,610.7076928721644,6.1712842712842715,150.96501443731125,,,0
51-94,0,0,0,,,1
51-23,0,0,0,,,1
51-105,0,0,0,,,1
51-381,0,0,0,,,1
51-192,0,0,0,,,1
51-326,0,0,0,,,1
51-63,0,0,0,,,1
51-494,0,0,0,,,1
51-629,0,0,0,,,1
51-261,0,0,0,,,1
51-528,0,0,0,,,0
51-1,610.7076928721644,6.503751803751804,158.51922247523422,,,0
52-21,0,0,0,,,1
52-22,0,0,0,,,1
52-306,0,0,0,,,1
52-326,0,0,0,,,1
52-528,0,0,0,,,0
52-1,346.3715273006306,4.3349206349206355,109.48977389086568,,,0
53-296,0,0,0,,,1
53-33,0,0,0,,,1
53-446,0,0,0,,,1
53-447,0,0,0,,,1
53-448,0,0,0,,,1
53-449,0,0,0,,,1
53-208,0,0,0,,,1
53-297,0,0,0,,,1
53-298,0,0,0,,,1
53-299,0,0,0,,,1
53-531,0,0,0,,,0
53-1,300.7963263400213,2.8349206349206346,68.91715011365721,,,0
54-84,0,0,0,,,1
54-24,0,0,0,,,1
54-101,0,0,0,,,1
54-294,0,0,0,,,1
54-628,0,0,0,,,1
54-661,0,0,0,,,1
54-364,0,0,0,,,1
54-365,0,0,0,,,1
54-560,0,0,0,,,1
54-123,0,0,0,,,0
54-1,446.63696941397103,4.534920634920635,111.7011849754966,,,0
55-16,0,0,0,,,1
55-375,0,0,0,,,1
55-460,0,0,0,,,1
55-378,0,0,0,,,1
55-255,0,0,0,,,1
55-271,0,0,0,,,1
55-376,0,0,0,,,1
55-377,0,0,0,,,1
55-562,0,0,0,,,1
55-502,0,0,0,,,1
55-538,0,0,0,,,0
55-1,72.92032153697487,1.1111111111111112,28.02359592960888,,,0
56-380,0,0,0,,,1
56-749,0,0,0,,,1
56-1339,0,0,0,,,1
56-14,0,0,0,,,1
56-705,0,0,0,,,1
56-779,0,0,0,,,1
56-780,0,0,0,,,1
56-379,0,0,0,,,1
56-643,0,0,0,,,1
56-686,0,0,0,,,1
56-753,0,0,0,,,0
56-1,419.29184883760547,4.357864357864358,105.99194104324081,,,0
57-380,0,0,0,,,1
57-593,0,0,0,,,1
57-746,0,0,0,,,1
57-914,0,0,0,,,1
57-14,0,0,0,,,1
57-379,0,0,0,,,1
57-705,0,0,0,,,1
57-779,0,0,0,,,1
57-780,0,0,0,,,1
57-704,0,0,0,,,1
57-12,0,0,0,,,1
57-15,0,0,0,,,1
57-857,0,0,0,,,1
57-859,0,0,0,,,1
57-753,0,0,0,,,0
57-1,209.64592441880274,3.6396825396825396,91.61757612630868,,,0
58-788,0,0,0,,,1
58-785,0,0,0,,,1
58-786,0,0,0,,,1
58-787,0,0,0,,,1
58-23,0,0,0,,,1
58-381,0,0,0,,,1
58-382,0,0,0,,,1
58-784,0,0,0,,,1
58-789,0,0,0,,,1
58-754,0,0,0,,,0
58-1,227.87600480304647,3.3102453102453104,82.2882217755527,,,0
59-788,0,0,0,,,1
59-785,0,0,0,,,1
59-786,0,0,0,,,1
59-787,0,0,0,,,1
59-754,0,0,0,,,0
59-1,164.07072345819344,2.2626262626262625,56.81707086827296,,,0
61-565,0,0,0,,,1
61-566,0,0,0,,,1
61-564,0,0,0,,,1
61-1159,0,0,0,,,1
61-661,0,0,0,,,1
61-539,0,0,0,,,0
61-1,127.61056268970603,1.992063492063492,49.568363890707175,,,0
62-566,0,0,0,,,1
62-567,0,0,0,,,1
62-1084,0,0,0,,,1
62-1078,0,0,0,,,1
62-1081,0,0,0,,,1
62-539,0,0,0,,,0
62-1,200.53088422668088,2.6435786435786435,65.27389567543304,,,0
66-664,0,0,0,,,1
66-629,0,0,0,,,1
66-180,0,0,0,,,1
66-659,0,0,0,,,1
66-660,0,0,0,,,1
66-388,0,0,0,,,0
66-1,91.15040192121859,1.6111111111111112,41.11153908354709,,,0
67-2,0,0,0,,,1
67-3,0,0,0,,,1
67-664,0,0,0,,,1
67-629,0,0,0,,,1
67-323,0,0,0,,,1
67-324,0,0,0,,,1
67-393,0,0,0,,,1
67-128,0,0,0,,,1
67-180,0,0,0,,,1
67-394,0,0,0,,,1
67-659,0,0,0,,,1
67-389,0,0,0,,,1
67-4,0,0,0,,,1
67-1302,0,0,0,,,1
67-388,0,0,0,,,0
67-1,173.18576365031532,1.9142857142857144,47.314476722818014,,,0
68-662,0,0,0,,,1
68-101,0,0,0,,,1
68-460,0,0,0,,,1
68-661,0,0,0,,,1
68-62,0,0,0,,,1
68-628,0,0,0,,,0
68-1,109.3804823054623,1.492063492063492,36.48042073676896,,,0
69-458,0,0,0,,,1
69-570,0,0,0,,,1
69-977,0,0,0,,,1
69-62,0,0,0,,,1
69-336,0,0,0,,,1
69-540,0,0,0,,,0
69-1,109.3804823054623,1.492063492063492,36.48042073676896,,,0
71-569,0,0,0,,,1
71-571,0,0,0,,,1
71-1355,0,0,0,,,1
71-101,0,0,0,,,1
71-655,0,0,0,,,1
71-1213,0,0,0,,,1
71-798,0,0,0,,,1
71-572,0,0,0,,,1
71-540,0,0,0,,,0
71-1,410.1768086454836,4.7808080808080815,117.56728224142753,,,0
72-21,0,0,0,,,1
72-324,0,0,0,,,1
72-630,0,0,0,,,1
72-94,0,0,0,,,1
72-664,0,0,0,,,1
72-304,0,0,0,,,1
72-128,0,0,0,,,1
72-323,0,0,0,,,1
72-663,0,0,0,,,1
72-570,0,0,0,,,1
72-494,0,0,0,,,1
72-305,0,0,0,,,1
72-309,0,0,0,,,1
72-571,0,0,0,,,1
72-655,0,0,0,,,1
72-388,0,0,0,,,1
72-62,0,0,0,,,1
72-629,0,0,0,,,0
72-1,556.0174517194333,6.914141414141414,173.35993938960553,,,0
74-576,0,0,0,,,1
74-656,0,0,0,,,1
74-575,0,0,0,,,1
74-317,0,0,0,,,1
74-574,0,0,0,,,1
74-578,0,0,0,,,1
74-541,0,0,0,,,0
74-1,346.37152730063065,4.11024531024531,101.0776941885054,,,0
79-597,0,0,0,,,1
79-598,0,0,0,,,1
79-688,0,0,0,,,1
79-708,0,0,0,,,1
79-713,0,0,0,,,1
79-544,0,0,0,,,0
79-1,592.4776124879207,5.336507936507937,128.67274001955766,,,0
80-594,0,0,0,,,1
80-597,0,0,0,,,1
80-596,0,0,0,,,1
80-598,0,0,0,,,1
80-544,0,0,0,,,0
80-1,300.7963263400213,2.8349206349206346,68.91715011365721,,,0
81-672,0,0,0,,,1
81-799,0,0,0,,,1
81-631,0,0,0,,,0
81-1,319.02640672426503,3.5015873015873016,87.24027052917072,,,0
82-676,0,0,0,,,1
82-677,0,0,0,,,1
82-678,0,0,0,,,1
82-679,0,0,0,,,1
82-205,0,0,0,,,1
82-632,0,0,0,,,0
82-1,227.87600480304647,2.7444444444444445,67.7537773888627,,,0
83-680,0,0,0,,,1
83-681,0,0,0,,,1
83-682,0,0,0,,,1
83-683,0,0,0,,,1
83-633,0,0,0,,,0
83-1,82.03536172909672,1.2777777777777777,31.949978875790343,,,0
84-606,0,0,0,,,1
84-406,0,0,0,,,1
84-608,0,0,0,,,1
84-142,0,0,0,,,1
84-294,0,0,0,,,1
84-354,0,0,0,,,1
84-522,0,0,0,,,1
84-962,0,0,0,,,1
84-1192,0,0,0,,,1
84-1213,0,0,0,,,1
84-873,0,0,0,,,1
84-546,0,0,0,,,0
84-1,455.75200960609294,4.544444444444444,111.87669379173715,,,0
85-608,0,0,0,,,1
85-406,0,0,0,,,1
85-606,0,0,0,,,1
85-710,0,0,0,,,1
85-546,0,0,0,,,0
85-1,865.9288182515766,7.139682539682539,171.06328116565777,,,0
86-594,0,0,0,,,1
86-790,0,0,0,,,1
86-755,0,0,0,,,0
86-1,391.9467282612399,4.263492063492064,104.15392014349086,,,0
87-606,0,0,0,,,1
87-611,0,0,0,,,1
87-562,0,0,0,,,1
87-50,0,0,0,,,1
87-236,0,0,0,,,1
87-609,0,0,0,,,1
87-612,0,0,0,,,1
87-406,0,0,0,,,1
87-547,0,0,0,,,0
87-1,464.8670497982148,4.415873015873016,107.07006662871848,,,0
93-691,0,0,0,,,1
93-635,0,0,0,,,0
93-1,838.583697675211,8.227561327561327,199.41277665928254,,,0
94-24,0,0,0,,,1
94-283,0,0,0,,,1
94-294,0,0,0,,,1
94-559,0,0,0,,,1
94-689,0,0,0,,,1
94-690,0,0,0,,,1
94-101,0,0,0,,,1
94-1393,0,0,0,,,1
94-354,0,0,0,,,1
94-1104,0,0,0,,,1
94-1161,0,0,0,,,1
94-1395,0,0,0,,,1
94-635,0,0,0,,,0
94-1,747.4332957539924,6.743578643578644,163.0650936826955,,,0
95-283,0,0,0,,,1
95-662,0,0,0,,,1
95-635,0,0,0,,,0
95-1,291.68128614789947,3.573015873015873,87.72128040576843,,,0
97-699,0,0,0,,,1
97-700,0,0,0,,,1
97-701,0,0,0,,,1
97-698,0,0,0,,,1
97-1289,0,0,0,,,1
97-702,0,0,0,,,1
97-703,0,0,0,,,1
97-779,0,0,0,,,1
97-1339,0,0,0,,,1
97-681,0,0,0,,,1
97-637,0,0,0,,,0
97-1,154.9556832660716,2.2063492063492065,54.09880575168579,,,0
98-713,0,0,0,,,1
98-708,0,0,0,,,1
98-709,0,0,0,,,1
98-711,0,0,0,,,1
98-712,0,0,0,,,1
98-638,0,0,0,,,0
98-1,319.0264067242651,3.1777777777777776,78.2542191376545,,,0
99-717,0,0,0,,,1
99-719,0,0,0,,,1
99-1001,0,0,0,,,1
99-1379,0,0,0,,,1
99-639,0,0,0,,,0
99-1,464.86704979821474,4.73968253968254,116.05611802023469,,,0
100-821,0,0,0,,,1
100-822,0,0,0,,,1
100-824,0,0,0,,,1
100-820,0,0,0,,,1
100-823,0,0,0,,,1
100-825,0,0,0,,,1
100-1122,0,0,0,,,1
100-1051,0,0,0,,,1
100-1121,0,0,0,,,1
100-760,0,0,0,,,0
100-1,63.80528134485301,0.7777777777777778,18.86203572185213,,,0
101-817,0,0,0,,,1
101-818,0,0,0,,,1
101-819,0,0,0,,,1
101-820,0,0,0,,,1
101-825,0,0,0,,,1
101-824,0,0,0,,,1
101-760,0,0,0,,,0
101-1,464.8670497982148,5.034920634920636,124.78912812943483,,,0
102-728,0,0,0,,,1
102-913,0,0,0,,,1
102-910,0,0,0,,,1
102-911,0,0,0,,,1
102-729,0,0,0,,,0
102-1,364.60160768487435,3.780808080808081,91.74833983774943,,,0
103-826,0,0,0,,,1
103-828,0,0,0,,,1
103-761,0,0,0,,,0
103-1,1048.2296220940136,9.11890331890332,219.66417965146974,,,0
104-833,0,0,0,,,1
104-834,0,0,0,,,1
104-835,0,0,0,,,1
104-836,0,0,0,,,1
104-837,0,0,0,,,1
104-762,0,0,0,,,0
104-1,173.1857636503153,1.6349206349206349,39.221058405756025,,,0
105-848,0,0,0,,,1
105-844,0,0,0,,,1
105-845,0,0,0,,,1
105-846,0,0,0,,,1
105-847,0,0,0,,,1
105-764,0,0,0,,,0
105-1,674.5129742170176,7.316594516594516,178.2761602930821,,,0
106-847,0,0,0,,,1
106-846,0,0,0,,,1
106-849,0,0,0,,,1
106-844,0,0,0,,,1
106-845,0,0,0,,,1
106-764,0,0,0,,,0
106-1,483.0971301824585,5.146608946608947,125.07225663739212,,,0
107-725,0,0,0,,,1
107-728,0,0,0,,,1
107-729,0,0,0,,,1
107-911,0,0,0,,,1
107-720,0,0,0,,,1
107-75,0,0,0,,,1
107-909,0,0,0,,,1
107-640,0,0,0,,,0
107-1,638.0528134485301,7.171284271284271,178.44969506058152,,,0
108-724,0,0,0,,,1
108-726,0,0,0,,,1
108-727,0,0,0,,,1
108-75,0,0,0,,,1
108-909,0,0,0,,,1
108-720,0,0,0,,,1
108-723,0,0,0,,,1
108-640,0,0,0,,,0
108-1,428.4068890297273,5.161760461760461,127.68984526817977,,,0
109-860,0,0,0,,,1
109-861,0,0,0,,,1
109-606,0,0,0,,,1
109-980,0,0,0,,,1
109-12,0,0,0,,,1
109-766,0,0,0,,,0
109-1,282.5662459557776,3.792063492063492,94.53372261153626,,,0
110-862,0,0,0,,,1
110-863,0,0,0,,,1
110-31,0,0,0,,,1
110-1174,0,0,0,,,1
110-766,0,0,0,,,0
110-1,227.87600480304647,2.358730158730159,57.014952236913395,,,0
111-15,0,0,0,,,1
111-391,0,0,0,,,1
111-864,0,0,0,,,1
111-914,0,0,0,,,1
111-392,0,0,0,,,1
111-627,0,0,0,,,1
111-658,0,0,0,,,1
111-894,0,0,0,,,0
111-1,227.87600480304647,2.358730158730159,57.014952236913395,,,0
112-731,0,0,0,,,1
112-730,0,0,0,,,1
112-641,0,0,0,,,0
112-1,100.26544211334044,1.7111111111111112,43.2928629425368,,,0
113-746,0,0,0,,,1
113-748,0,0,0,,,1
113-749,0,0,0,,,1
113-265,0,0,0,,,1
113-643,0,0,0,,,0
113-1,127.61056268970603,1.992063492063492,49.568363890707175,,,0
114-919,0,0,0,,,1
114-916,0,0,0,,,1
114-920,0,0,0,,,1
114-921,0,0,0,,,1
114-895,0,0,0,,,0
114-1,574.247532103677,5.273015873015873,127.42908931262235,,,0
116-922,0,0,0,,,1
116-360,0,0,0,,,1
116-605,0,0,0,,,1
116-927,0,0,0,,,1
116-492,0,0,0,,,1
116-896,0,0,0,,,0
116-1,729.2032153697486,7.638816738816739,186.9288924201415,,,0
118-923,0,0,0,,,1
118-924,0,0,0,,,1
118-925,0,0,0,,,1
118-896,0,0,0,,,0
118-1,701.8580947933831,6.14920634920635,148.13912962900736,,,0
119-926,0,0,0,,,1
119-897,0,0,0,,,0
119-1,583.3625722957989,5.43968253968254,131.35547225880381,,,0
120-829,0,0,0,,,1
120-887,0,0,0,,,1
120-890,0,0,0,,,1
120-885,0,0,0,,,1
120-886,0,0,0,,,1
120-888,0,0,0,,,1
120-889,0,0,0,,,1
120-1146,0,0,0,,,1
120-891,0,0,0,,,1
120-769,0,0,0,,,0
120-1,601.5926526800426,5.782539682539682,140.69254128280113,,,0
121-885,0,0,0,,,1
121-886,0,0,0,,,1
121-1146,0,0,0,,,1
121-887,0,0,0,,,1
121-888,0,0,0,,,1
121-890,0,0,0,,,1
121-891,0,0,0,,,1
121-769,0,0,0,,,0
121-1,537.7873713351896,4.900721500721501,117.54042115186905,,,0
122-931,0,0,0,,,1
122-932,0,0,0,,,1
122-934,0,0,0,,,1
122-935,0,0,0,,,1
122-936,0,0,0,,,1
122-937,0,0,0,,,1
122-938,0,0,0,,,1
122-957,0,0,0,,,1
122-1131,0,0,0,,,1
122-898,0,0,0,,,0
122-1,136.72560288182788,2.944444444444444,76.44898559918028,,,0
123-966,0,0,0,,,1
123-967,0,0,0,,,1
123-941,0,0,0,,,0
123-1,236.99104499516832,2.8492063492063493,69.92738657461106,,,0
126-974,0,0,0,,,1
126-1326,0,0,0,,,1
126-187,0,0,0,,,1
126-969,0,0,0,,,1
126-970,0,0,0,,,1
126-971,0,0,0,,,1
126-972,0,0,0,,,1
126-973,0,0,0,,,1
